                                        Waterbody                 Watershed  avg_risk_score  percent_unsafe  severe_cases
114                                  Ezekiel Pond              Buzzards Bay        0.684211       36.842105             4
1211                                   Tully Pond                   Millers        0.684211       52.631579             2
913                               South Reservoir                    Mystic        0.676471       44.117647             5
21                                    Kirby Brook              Buzzards Bay        0.666667       66.666667             0
1286                                  Mason Brook                    Nashua        0.666667       66.666667             0
287                                  Vinica Brook                  Chicopee        0.666667       66.666667             0
651                                    Coys Brook                  Chicopee        0.666667       66.666667             0
1102                             Frost Fish Brook             North Coastal        0.666667       66.666667             0
455                                Neponset River                  Neponset        0.666667       66.666667             0
971                             Unnamed Tributary          Concord (SuAsCo)        0.666667      100.000000             0
1205                                   Fish Brook                   Ipswich        0.666667       66.666667             0
881                                 Assabet Brook          Concord (SuAsCo)        0.666667       66.666667             0
89                                  Quivett Creek                  Cape Cod        0.666667       66.666667             0
495                                Bogastow Brook                   Charles        0.666667       66.666667             0
135                                   Coles Brook                  Ten Mile        0.666667       85.714286             0
1196                               Cow Pond Brook                 Merrimack        0.666667       66.666667             0
988                                  Spring Brook                 Shawsheen        0.666667      100.000000             0
909                                Mountain Brook               Connecticut        0.666667       66.666667             0
189                                 Williams Pond                  Cape Cod        0.666667       44.444444             3
919                                Aberjona River                    Mystic        0.666667       85.714286             0
601                              Big Bummet Brook                Blackstone        0.666667       66.666667             0
74                             Mattapoisett River              Buzzards Bay        0.666667       66.666667             0
695                                     Hop Brook          Concord (SuAsCo)        0.666667       66.666667             0
275                               Breakneck Brook                 Quinebaug        0.666667       66.666667             0
989                          Fall Brook Reservoir                    Nashua        0.652174       52.173913             0
77                                 Hinckleys Pond                  Cape Cod        0.651163       55.813953             8
837                                    Ware River                  Chicopee        0.648148       68.627451             0
32                         Bread And Cheese Brook              Buzzards Bay        0.647059       73.333333             0
534                                Ponkapog Brook                  Neponset        0.642857       57.142857             0
72                                 Spectacle Pond                  Cape Cod        0.642857       42.857143             2
773                                Seaverns Brook                   Charles        0.642857       90.000000             0
401                                 Charles River                   Charles        0.642857       69.230769             0
247                     White Oak Brook/Reservoir                   Taunton        0.642857       45.454545             1
423                              Blackstone River                Blackstone        0.641509       64.705882             1
1114                                    Cat Brook             North Coastal        0.636364       66.666667             0
278                            Hamilton Reservoir                 Quinebaug        0.636364       40.909091             3
1202                           River Meadow Brook          Concord (SuAsCo)        0.636364       65.000000             0
111                                 Runnins River  Narragansett Bay (Shore)        0.625000       37.500000             0
1012                               Wachusett Lake                    Nashua        0.625000       37.500000             3
1293                  South Branch Souhegan River                 Merrimack        0.625000       83.333333             0
1021                               Spectacle Pond                    Nashua        0.625000       50.000000             2
1166                              Shawsheen River                 Shawsheen        0.625000       83.333333             0
1027                              Shawsheen River                 Shawsheen        0.625000       83.333333             0
543                              Blackstone River                Blackstone        0.625000       62.500000             0
1147                              Shawsheen River                 Shawsheen        0.625000       83.333333             0
700                               Coal Mine Brook                Blackstone        0.625000       62.500000             0
145                                Ten Mile River                  Ten Mile        0.625000       50.000000             0
755                             Cold Harbor Brook          Concord (SuAsCo)        0.625000       83.333333             0
1055                                   Webb Brook                 Shawsheen        0.625000       83.333333             0
1273                              Shawsheen River                 Shawsheen        0.625000       83.333333             0
540                                    Dark Brook                Blackstone        0.625000       83.333333             0
1040                                 Bowers Brook                    Nashua        0.625000       83.333333             0
1238                                  Miles River                   Ipswich        0.615385       61.538462             1
1124                                  Otter River                   Millers        0.608696       61.904762             0
656                                 Charles River                   Charles        0.600000       40.000000             1
225                                Satucket River                   Taunton        0.600000       33.333333             0
37                              Unnamed Tributary              Buzzards Bay        0.600000      150.000000             0
153                                   Wenham Pond              Buzzards Bay        0.600000       50.000000             0
304                         Salisbury Plain River                   Taunton        0.600000      100.000000             0
149                            Puddingshear Brook                   Taunton        0.600000      100.000000             0
1128                                Millers River                   Millers        0.600000       60.000000             0
462                              Blackstone River                Blackstone        0.600000       60.000000             0
705                                Williams River                Housatonic        0.600000       75.000000             0
83                                  Doggett Brook              Buzzards Bay        0.600000      100.000000             0
160                                 Bartlett Pond             South Coastal        0.600000      100.000000             0
81                             Mattapoisett River              Buzzards Bay        0.600000      100.000000             0
238                               Congamond Lakes                 Westfield        0.600000       57.142857            19
875                                    Mill Brook                    Mystic        0.600000      100.000000             0
479                              Blackstone River                Blackstone        0.600000       60.000000             0
531                              Blackstone River                Blackstone        0.600000       60.000000             0
845                                  Mystic River                    Mystic        0.600000       85.714286             0
484                              Blackstone River                Blackstone        0.600000       60.000000             0
106                                    Cole River    Mount Hope Bay (Shore)        0.600000      150.000000             0
399                                 Charles River                   Charles        0.600000       60.000000             0
104                             Rattlesnake Brook                   Taunton        0.600000      100.000000             0
38                                  Santuit River                  Cape Cod        0.600000      100.000000             0
561                          Crooked Meadow River           Weymouth & Weir        0.600000       60.000000             0
749                                 Charles River                   Charles        0.600000       60.000000             0
164                              Pine Swamp Brook                   Taunton        0.600000       66.666667             0
70                                  Herring River                  Cape Cod        0.600000      100.000000             0
836                                    Ware River                  Chicopee        0.600000       60.000000             0
1226                                 Rogers Brook                 Shawsheen        0.588235       76.923077             0
34                         Bread And Cheese Brook              Buzzards Bay        0.583333       58.333333             0
30                     East Branch Westport River              Buzzards Bay        0.583333       50.000000             0
473         Chicopee River/Red Bridge Impoundment                  Chicopee        0.571429       42.857143             4
727                           Buckley-Dunton Lake                 Westfield        0.571429       50.000000             0
588                               Sevenmile River                  Chicopee        0.555556       55.555556             0
963                                  Saugus River             North Coastal        0.555556       62.500000             0
400                              Blackstone River                Blackstone        0.555556       55.555556             0
370                 Little River/Buffumville Lake                    French        0.550000       30.000000             5
1232                                Ipswich River                   Ipswich        0.545455       54.545455             0
1023                                 Hawkes Brook             North Coastal        0.545455       75.000000             0
226                                  Wading River                   Taunton        0.545455       45.454545             0
1123                              Whetstone Brook                   Millers        0.541667       72.222222             0
794                                     Hop Brook          Concord (SuAsCo)        0.538462       53.846154             1
